venue,format,matches,completed_matches,no_results,ties,draws,batting_first_matches,batting_first_wins,batting_first_win_pct,bowling_first_matches,bowling_first_wins,bowling_first_win_pct,innings_count,total_runs,first_innings_count,first_innings_total_runs,second_innings_count,second_innings_total_runs,total_bowler_wickets,fast_wickets,medium_wickets,off_spin_wickets,leg_spin_wickets,unknown_wickets,avg_score,max_score,min_score,avg_first_innings_score,max_first_innings_score,min_first_innings_score,avg_second_innings_score,max_second_innings_score,min_second_innings_score,fast_wicket_pct,medium_wicket_pct,off_spin_wicket_pct,leg_spin_wicket_pct,pace_wicket_pct,spin_wicket_pct
Dreux Sport Cricket Club,T20,7,6,0,1,0,3,3,100.0,3,3,100.0,16,1895,7,1004,7,872,109,0,0,0,0,109,118.44,170,7,143.43,170,112,124.57,167,84,0.0,0.0,0.0,0.0,0.0,0.0
DRIEMS Ground,T20,17,17,0,0,0,5,5,100.0,12,12,100.0,34,5076,17,2633,17,2443,190,0,0,0,0,190,149.29,242,91,154.88,242,91,143.71,211,95,0.0,0.0,0.0,0.0,0.0,0.0
Drummoyne Oval,T20,19,17,1,1,0,6,6,100.0,11,11,100.0,40,4262,19,2228,19,2019,226,0,0,0,0,226,106.55,152,6,117.26,152,70,106.26,152,25,0.0,0.0,0.0,0.0,0.0,0.0
"Drummoyne Oval, Sydney",T20,11,10,1,0,0,5,5,100.0,5,5,100.0,22,2663,11,1451,11,1212,140,0,0,0,0,140,121.05,171,9,131.91,171,64,110.18,154,9,0.0,0.0,0.0,0.0,0.0,0.0
Dubai International Cricket Stadium,ODI,59,58,1,0,0,25,25,100.0,33,33,100.0,118,24588,59,13295,59,11293,881,0,0,0,0,881,208.37,355,35,225.34,355,91,191.41,307,35,0.0,0.0,0.0,0.0,0.0,0.0
Dubai International Cricket Stadium,T20,298,291,0,7,0,129,129,100.0,162,162,100.0,612,86018,298,45081,298,40809,3702,0,0,0,0,3702,140.55,219,2,151.28,219,55,136.94,203,56,0.0,0.0,0.0,0.0,0.0,0.0
Dubai International Cricket Stadium,Test,13,10,0,0,3,6,6,100.0,4,4,100.0,50,14105,13,4370,13,3884,419,0,0,0,0,419,282.1,579,15,336.15,579,99,298.77,517,90,0.0,0.0,0.0,0.0,0.0,0.0
Dubai Sports City Cricket Stadium,ODI,2,2,0,0,0,0,0,0.0,2,2,100.0,4,754,2,375,2,379,30,0,0,0,0,30,188.5,208,168,187.5,207,168,189.5,208,171,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Oval,T20,2,1,1,0,0,0,0,0.0,1,1,100.0,4,444,2,248,2,196,12,0,0,0,0,12,111.0,169,27,124.0,165,83,98.0,169,27,0.0,0.0,0.0,0.0,0.0,0.0
"Eastern Oval, Ballarat",T20,4,3,1,0,0,1,1,100.0,2,2,100.0,7,792,4,453,3,339,38,0,0,0,0,38,113.14,188,79,113.25,188,79,113.0,151,92,0.0,0.0,0.0,0.0,0.0,0.0
Eden Gardens,ODI,10,9,1,0,0,7,7,100.0,2,2,100.0,19,4823,10,2801,9,2022,149,0,0,0,0,149,253.84,404,102,280.1,404,102,224.67,317,141,0.0,0.0,0.0,0.0,0.0,0.0
Eden Gardens,T20,101,100,0,1,0,41,41,100.0,59,59,100.0,204,30761,101,16104,101,14620,1182,0,0,0,0,1182,150.79,235,14,159.45,235,81,144.75,204,49,0.0,0.0,0.0,0.0,0.0,0.0
Eden Gardens,Test,9,7,0,0,2,2,2,100.0,5,5,100.0,32,9507,9,2992,9,3484,274,0,0,0,0,274,297.09,643,41,332.44,631,106,387.11,643,153,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Gardens, Kolkata",ODI,6,6,0,0,0,3,3,100.0,3,3,100.0,12,2631,6,1523,6,1108,100,0,0,0,0,100,219.25,337,83,253.83,337,204,184.67,244,83,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Gardens, Kolkata",T20,49,47,2,0,0,26,26,100.0,21,21,100.0,97,17154,49,9058,48,8096,601,0,0,0,0,601,176.85,262,7,184.86,261,25,168.67,262,7,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Gardens, Kolkata",Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,594,1,159,1,189,38,0,0,0,0,38,148.5,189,93,159.0,159,159,189.0,189,189,0.0,0.0,0.0,0.0,0.0,0.0
Eden Park,ODI,26,24,1,1,0,9,9,100.0,15,15,100.0,51,11586,26,6234,25,5352,394,0,0,0,0,394,227.18,340,73,239.77,336,145,214.08,340,73,0.0,0.0,0.0,0.0,0.0,0.0
Eden Park,T20,27,24,1,2,0,12,12,100.0,12,12,100.0,55,8105,27,4317,26,3763,351,0,0,0,0,351,147.36,245,8,159.89,243,14,144.73,245,76,0.0,0.0,0.0,0.0,0.0,0.0
Eden Park,Test,5,4,0,0,1,2,2,100.0,2,2,100.0,19,5544,5,1575,5,1685,174,0,0,0,0,174,291.79,595,53,315.0,503,58,337.0,595,202,0.0,0.0,0.0,0.0,0.0,0.0
Eden Park No 2,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,551,1,275,1,276,15,0,0,0,0,15,275.5,276,275,275.0,275,275,276.0,276,276,0.0,0.0,0.0,0.0,0.0,0.0
Eden Park Outer Oval,ODI,2,2,0,0,0,0,0,0.0,2,2,100.0,4,751,2,374,2,377,24,0,0,0,0,24,187.75,260,115,187.0,259,115,188.5,260,117,0.0,0.0,0.0,0.0,0.0,0.0
Eden Park Outer Oval,T20,31,30,1,0,0,12,12,100.0,18,18,100.0,61,9185,31,4768,30,4417,377,0,0,0,0,377,150.57,230,6,153.81,230,6,147.23,208,55,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Park Outer Oval, Auckland",T20,37,36,0,1,0,20,20,100.0,16,16,100.0,74,10038,37,5429,37,4609,488,0,0,0,0,488,135.65,219,48,146.73,219,89,124.57,210,48,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Park, Auckland",ODI,5,5,0,0,0,2,2,100.0,3,3,100.0,10,2369,5,1350,5,1019,78,0,0,0,0,78,236.9,309,76,270.0,306,203,203.8,309,76,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Park, Auckland",T20,20,16,2,2,0,8,8,100.0,8,8,100.0,42,5697,20,2975,18,2662,226,0,0,0,0,226,135.64,226,8,148.75,226,38,147.89,207,88,0.0,0.0,0.0,0.0,0.0,0.0
Edgbaston,ODI,31,26,5,0,0,12,12,100.0,14,14,100.0,61,13222,31,7571,30,5651,412,0,0,0,0,412,216.75,408,37,244.23,408,59,188.37,306,37,0.0,0.0,0.0,0.0,0.0,0.0
Edgbaston,T20,70,69,0,1,0,40,40,100.0,29,29,100.0,140,21763,70,11380,70,10383,892,0,0,0,0,892,155.45,242,39,162.57,242,73,148.33,231,39,0.0,0.0,0.0,0.0,0.0,0.0
Edgbaston,Test,12,10,0,0,2,5,5,100.0,5,5,100.0,43,12049,12,3441,12,4000,379,0,0,0,0,379,280.21,710,72,286.75,566,72,333.33,710,168,0.0,0.0,0.0,0.0,0.0,0.0
"Edgbaston Foundation Community Sports Ground, Birmingham",T20,1,1,0,0,0,1,1,100.0,0,0,0.0,2,304,1,165,1,139,12,0,0,0,0,12,152.0,165,139,165.0,165,165,139.0,139,139,0.0,0.0,0.0,0.0,0.0,0.0
"Edgbaston, Birmingham",ODI,3,3,0,0,0,1,1,100.0,2,2,100.0,6,1745,3,989,3,756,48,0,0,0,0,48,290.83,400,162,329.67,400,258,252.0,332,162,0.0,0.0,0.0,0.0,0.0,0.0
"Edgbaston, Birmingham",T20,157,156,1,0,0,84,84,100.0,72,72,100.0,313,45517,157,24376,156,21141,2083,0,0,0,0,2083,145.42,240,41,155.26,240,41,135.52,212,42,0.0,0.0,0.0,0.0,0.0,0.0
"Edgbaston, Birmingham",Test,7,6,0,0,1,2,2,100.0,4,4,100.0,28,8545,7,2982,7,2557,227,0,0,0,0,227,305.18,594,41,426.0,594,282,365.29,408,284,0.0,0.0,0.0,0.0,0.0,0.0
"Ekeberg Cricket Ground 1, Oslo",T20,3,3,0,0,0,2,2,100.0,1,1,100.0,6,724,3,398,3,326,43,0,0,0,0,43,120.67,148,74,132.67,148,109,108.67,142,74,0.0,0.0,0.0,0.0,0.0,0.0
"Ekeberg Cricket Ground 2, Oslo",T20,1,1,0,0,0,0,0,0.0,1,1,100.0,2,131,1,64,1,67,10,0,0,0,0,10,65.5,67,64,64.0,64,64,67.0,67,67,0.0,0.0,0.0,0.0,0.0,0.0
Emerald Heights International School Ground,T20,22,22,0,0,0,8,8,100.0,14,14,100.0,44,6242,22,3322,22,2920,279,0,0,0,0,279,141.86,258,99,151.0,258,99,132.73,197,100,0.0,0.0,0.0,0.0,0.0,0.0
"Enborne Lodge, Newbury",T20,2,2,0,0,0,0,0,0.0,2,2,100.0,4,689,2,343,2,346,17,0,0,0,0,17,172.25,175,169,171.5,174,169,173.0,175,171,0.0,0.0,0.0,0.0,0.0,0.0
Entebbe Cricket Oval,T20,47,47,0,0,0,24,24,100.0,23,23,100.0,94,9416,47,5179,47,4237,610,0,0,0,0,610,100.17,180,34,110.19,180,35,90.15,162,34,0.0,0.0,0.0,0.0,0.0,0.0
Estonian National Cricket and Rugby Field,T20,12,12,0,0,0,4,4,100.0,8,8,100.0,24,2563,12,1399,12,1164,170,0,0,0,0,170,106.79,235,38,116.58,235,57,97.0,194,38,0.0,0.0,0.0,0.0,0.0,0.0
Europa Sports Complex,T20,22,22,0,0,0,10,10,100.0,12,12,100.0,44,5383,22,2965,22,2418,293,0,0,0,0,293,122.34,176,30,134.77,176,60,109.91,174,30,0.0,0.0,0.0,0.0,0.0,0.0
F B Colony Ground,T20,5,5,0,0,0,2,2,100.0,3,3,100.0,10,1350,5,694,5,656,49,0,0,0,0,49,135.0,196,63,138.8,192,63,131.2,196,64,0.0,0.0,0.0,0.0,0.0,0.0
"Faleata Oval No 2, Apia",T20,12,12,0,0,0,6,6,100.0,6,6,100.0,24,3322,12,1775,12,1547,157,0,0,0,0,157,138.42,186,62,147.92,183,62,128.92,186,63,0.0,0.0,0.0,0.0,0.0,0.0
"FB Fields, St Clement",T20,5,5,0,0,0,4,4,100.0,1,1,100.0,10,927,5,608,5,319,70,0,0,0,0,70,92.7,169,21,121.6,169,51,63.8,104,21,0.0,0.0,0.0,0.0,0.0,0.0
Feroz Shah Kotla,ODI,11,10,1,0,0,5,5,100.0,5,5,100.0,21,4331,11,2363,10,1968,163,0,0,0,0,163,206.24,330,83,214.82,330,83,196.8,238,115,0.0,0.0,0.0,0.0,0.0,0.0
Feroz Shah Kotla,T20,69,68,1,0,0,29,29,100.0,39,39,100.0,137,20618,69,10807,68,9811,798,0,0,0,0,798,150.5,231,44,156.62,231,56,144.28,214,44,0.0,0.0,0.0,0.0,0.0,0.0
Feroz Shah Kotla,Test,4,3,0,0,1,1,1,100.0,2,2,100.0,16,4119,4,1513,4,1179,126,0,0,0,0,126,257.44,613,31,378.25,613,262,294.75,577,121,0.0,0.0,0.0,0.0,0.0,0.0
"Fitzherbert Park, Palmerston North",T20,10,10,0,0,0,7,7,100.0,3,3,100.0,20,2933,10,1558,10,1375,135,0,0,0,0,135,146.65,214,90,155.8,214,90,137.5,212,92,0.0,0.0,0.0,0.0,0.0,0.0
Forthill,T20,10,10,0,0,0,7,7,100.0,3,3,100.0,20,1628,10,945,10,683,121,0,0,0,0,121,81.4,130,30,94.5,130,60,68.3,101,30,0.0,0.0,0.0,0.0,0.0,0.0
"Forthill, Dundee",ODI,16,15,1,0,0,8,8,100.0,7,7,100.0,32,7624,16,4086,16,3538,248,0,0,0,0,248,238.25,374,91,255.38,369,91,221.12,374,95,0.0,0.0,0.0,0.0,0.0,0.0
"FP Fenner's Ground, Cambridge",T20,1,1,0,0,0,1,1,100.0,0,0,0.0,2,289,1,147,1,142,12,0,0,0,0,12,144.5,147,142,147.0,147,147,142.0,142,142,0.0,0.0,0.0,0.0,0.0,0.0
FTZ Sports Complex (BOI),ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,351,1,174,1,177,12,0,0,0,0,12,175.5,177,174,174.0,174,174,177.0,177,177,0.0,0.0,0.0,0.0,0.0,0.0
Gaddafi Stadium,ODI,18,17,1,0,0,13,13,100.0,4,4,100.0,36,9242,18,5312,18,3930,264,0,0,0,0,264,256.72,375,68,295.11,375,207,218.33,334,68,0.0,0.0,0.0,0.0,0.0,0.0
Gaddafi Stadium,T20,28,27,1,0,0,13,13,100.0,14,14,100.0,55,8691,28,4581,27,4110,332,0,0,0,0,332,158.02,209,90,163.61,209,98,152.22,191,90,0.0,0.0,0.0,0.0,0.0,0.0
Gaddafi Stadium,Test,3,1,0,0,2,0,0,0.0,1,1,100.0,10,2895,3,1169,3,801,70,0,0,0,0,70,289.5,606,13,389.67,606,206,267.0,485,110,0.0,0.0,0.0,0.0,0.0,0.0
"Gaddafi Stadium, Lahore",ODI,28,28,0,0,0,14,14,100.0,14,14,100.0,56,13382,28,7070,28,6312,402,0,0,0,0,402,238.96,362,115,252.5,362,115,225.43,356,117,0.0,0.0,0.0,0.0,0.0,0.0
"Gaddafi Stadium, Lahore",T20,93,91,1,1,0,50,50,100.0,41,41,100.0,187,30867,93,16447,92,14407,1217,0,0,0,0,1217,165.06,245,5,176.85,245,89,156.6,227,76,0.0,0.0,0.0,0.0,0.0,0.0
"Gaddafi Stadium, Lahore",Test,3,3,0,0,0,2,2,100.0,1,1,100.0,12,3244,3,1089,3,938,104,0,0,0,0,104,270.33,401,164,363.0,391,320,312.67,401,268,0.0,0.0,0.0,0.0,0.0,0.0
"Gahanga B Ground, Rwanda",T20,49,47,1,1,0,27,27,100.0,20,20,100.0,99,8939,49,5053,48,3863,640,0,0,0,0,640,90.29,180,8,103.12,180,32,80.48,130,33,0.0,0.0,0.0,0.0,0.0,0.0
"Gahanga International Cricket Stadium, Rwanda",T20,104,103,1,0,0,63,63,100.0,40,40,100.0,207,23611,104,13514,103,10097,1436,0,0,0,0,1436,114.06,229,26,129.94,229,26,98.03,180,27,0.0,0.0,0.0,0.0,0.0,0.0
Gahanga International Cricket Stadium. Rwanda,T20,77,73,4,0,0,28,28,100.0,45,45,100.0,152,15350,77,8724,75,6626,937,0,0,0,0,937,100.99,242,6,113.3,242,6,88.35,165,8,0.0,0.0,0.0,0.0,0.0,0.0
Galle International Stadium,ODI,7,7,0,0,0,2,2,100.0,5,5,100.0,14,2782,7,1414,7,1368,80,0,0,0,0,80,198.71,329,98,202.0,329,98,195.43,322,100,0.0,0.0,0.0,0.0,0.0,0.0
Galle International Stadium,T20,12,12,0,0,0,5,5,100.0,7,7,100.0,24,2421,12,1297,12,1124,137,0,0,0,0,137,100.88,151,38,108.08,151,50,93.67,146,38,0.0,0.0,0.0,0.0,0.0,0.0
Galle International Stadium,Test,40,36,0,0,4,24,24,100.0,12,12,100.0,152,42848,40,15324,40,12161,1325,0,0,0,0,1325,281.89,704,10,383.1,654,135,304.02,704,81,0.0,0.0,0.0,0.0,0.0,0.0
"GB Oval, Szodliget",T20,16,15,1,0,0,8,8,100.0,7,7,100.0,31,4703,16,2787,15,1916,209,0,0,0,0,209,151.71,322,63,174.19,322,63,127.73,179,64,0.0,0.0,0.0,0.0,0.0,0.0
Geelong Cricket Ground,T20,2,2,0,0,0,2,2,100.0,0,0,0.0,4,610,2,366,2,244,29,0,0,0,0,29,152.5,192,91,183.0,192,174,122.0,153,91,0.0,0.0,0.0,0.0,0.0,0.0
Gelephu International Cricket Ground,T20,30,30,0,0,0,16,16,100.0,14,14,100.0,60,6779,30,3909,30,2870,388,0,0,0,0,388,112.98,223,45,130.3,223,69,95.67,133,45,0.0,0.0,0.0,0.0,0.0,0.0
Gliderol Stadium,T20,3,3,0,0,0,3,3,100.0,0,0,0.0,6,909,3,482,3,427,40,0,0,0,0,40,151.5,183,138,160.67,183,139,142.33,151,138,0.0,0.0,0.0,0.0,0.0,0.0
"GMHBA Stadium, South Geelong, Victoria",T20,15,14,1,0,0,7,7,100.0,7,7,100.0,29,3828,15,2053,14,1775,192,0,0,0,0,192,132.0,212,30,136.87,212,30,126.79,198,73,0.0,0.0,0.0,0.0,0.0,0.0
Gokaraju Liala Gangaaraju ACA Cricket Ground,T20,10,10,0,0,0,4,4,100.0,6,6,100.0,20,2224,10,1237,10,987,120,0,0,0,0,120,111.2,168,63,123.7,168,63,98.7,117,67,0.0,0.0,0.0,0.0,0.0,0.0
"Goldenacre, Edinburgh",T20,8,8,0,0,0,5,5,100.0,3,3,100.0,16,2059,8,1224,8,835,108,0,0,0,0,108,128.69,234,65,153.0,234,78,104.38,158,65,0.0,0.0,0.0,0.0,0.0,0.0
Goodyear Park,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,403,1,201,1,202,12,0,0,0,0,12,201.5,202,201,201.0,201,201,202.0,202,202,0.0,0.0,0.0,0.0,0.0,0.0
"Goodyear Park, Bloemfontein",ODI,5,5,0,0,0,2,2,100.0,3,3,100.0,10,2051,5,1079,5,972,65,0,0,0,0,65,205.1,314,108,215.8,314,108,194.4,253,109,0.0,0.0,0.0,0.0,0.0,0.0
Grace Road,ODI,12,12,0,0,0,6,6,100.0,6,6,100.0,24,4669,12,2796,12,1873,178,0,0,0,0,178,194.54,377,48,233.0,377,48,156.08,224,51,0.0,0.0,0.0,0.0,0.0,0.0
Grace Road,T20,41,35,5,1,0,15,15,100.0,20,20,100.0,79,12002,41,6488,38,5514,462,0,0,0,0,462,151.92,255,16,158.24,255,82,145.11,201,16,0.0,0.0,0.0,0.0,0.0,0.0
"Grace Road, Leicester",ODI,4,4,0,0,0,3,3,100.0,1,1,100.0,8,1966,4,1188,4,778,68,0,0,0,0,68,245.75,371,112,297.0,371,178,194.5,262,112,0.0,0.0,0.0,0.0,0.0,0.0
"Grace Road, Leicester",T20,46,46,0,0,0,19,19,100.0,27,27,100.0,92,14808,46,7717,46,7091,631,0,0,0,0,631,160.96,230,81,167.76,230,81,154.15,213,84,0.0,0.0,0.0,0.0,0.0,0.0
"Grace Road, Leicester",Test,1,0,0,0,1,0,0,0.0,0,0,0.0,4,1053,1,223,1,298,36,0,0,0,0,36,263.25,345,187,223.0,223,223,298.0,298,298,0.0,0.0,0.0,0.0,0.0,0.0
"Grainville, St Saviour",T20,7,7,0,0,0,5,5,100.0,2,2,100.0,14,1570,7,994,7,576,96,0,0,0,0,96,112.14,188,53,142.0,188,107,82.29,127,53,0.0,0.0,0.0,0.0,0.0,0.0
"Grainville, St Saviour, Jersey",T20,8,8,0,0,0,2,2,100.0,6,6,100.0,16,1659,8,875,8,784,87,0,0,0,0,87,103.69,163,42,109.38,163,42,98.0,143,46,0.0,0.0,0.0,0.0,0.0,0.0
Grand Prairie Stadium,T20,12,12,0,0,0,8,8,100.0,4,4,100.0,24,3737,12,2009,12,1728,161,0,0,0,0,161,155.71,215,50,167.42,215,126,144.0,193,50,0.0,0.0,0.0,0.0,0.0,0.0
"Grand Prairie Stadium, Dallas",ODI,7,6,1,0,0,3,3,100.0,3,3,100.0,13,2451,7,1354,6,1097,84,0,0,0,0,84,188.54,317,26,193.43,317,26,182.83,246,142,0.0,0.0,0.0,0.0,0.0,0.0
"Grand Prairie Stadium, Dallas",T20,56,54,0,2,0,22,22,100.0,32,32,100.0,116,19001,56,9792,56,9173,703,0,0,0,0,703,163.8,246,2,174.86,246,106,163.8,238,88,0.0,0.0,0.0,0.0,0.0,0.0
"Grange Cricket Club Ground, Raeburn Place",ODI,7,6,1,0,0,4,4,100.0,2,2,100.0,14,3076,7,1691,7,1385,102,0,0,0,0,102,219.71,327,135,241.57,327,153,197.86,272,135,0.0,0.0,0.0,0.0,0.0,0.0
"Grange Cricket Club Ground, Raeburn Place",T20,3,3,0,0,0,1,1,100.0,2,2,100.0,6,813,3,419,3,394,37,0,0,0,0,37,135.5,191,109,139.67,191,109,131.33,159,110,0.0,0.0,0.0,0.0,0.0,0.0
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,613,1,306,1,307,13,0,0,0,0,13,306.5,307,306,306.0,306,306,307.0,307,307,0.0,0.0,0.0,0.0,0.0,0.0
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",T20,27,27,0,0,0,16,16,100.0,11,11,100.0,54,7823,27,4324,27,3499,335,0,0,0,0,335,144.87,254,44,160.15,254,98,129.59,205,44,0.0,0.0,0.0,0.0,0.0,0.0
"Grange Cricket Club, Raeburn Place",ODI,1,1,0,0,0,1,1,100.0,0,0,0.0,2,521,1,322,1,199,18,0,0,0,0,18,260.5,322,199,322.0,322,322,199.0,199,199,0.0,0.0,0.0,0.0,0.0,0.0
"Grange Cricket Club, Raeburn Place",T20,2,2,0,0,0,2,2,100.0,0,0,0.0,4,608,2,370,2,238,26,0,0,0,0,26,152.0,204,82,185.0,204,166,119.0,156,82,0.0,0.0,0.0,0.0,0.0,0.0
"Great Barrier Reef Arena, Mackay",ODI,2,2,0,0,0,2,2,100.0,0,0,0.0,4,1056,2,708,2,348,32,0,0,0,0,32,264.0,431,155,354.0,431,277,174.0,193,155,0.0,0.0,0.0,0.0,0.0,0.0
"Great Barrier Reef Arena, Mackay",T20,7,7,0,0,0,4,4,100.0,3,3,100.0,14,1974,7,1025,7,949,89,0,0,0,0,89,141.0,179,113,146.43,179,126,135.57,170,113,0.0,0.0,0.0,0.0,0.0,0.0
"Great Barrier Reef Arena, Mackay",Test,1,1,0,0,0,0,0,0.0,1,1,100.0,3,369,1,64,1,210,30,0,0,0,0,30,123.0,210,64,64.0,64,64,210.0,210,210,0.0,0.0,0.0,0.0,0.0,0.0
Green Park,ODI,6,6,0,0,0,3,3,100.0,3,3,100.0,12,3279,6,1686,6,1593,77,0,0,0,0,77,273.25,337,198,281.0,337,240,265.5,331,198,0.0,0.0,0.0,0.0,0.0,0.0
Green Park,T20,5,5,0,0,0,0,0,0.0,5,5,100.0,10,1593,5,792,5,801,59,0,0,0,0,59,159.3,197,124,158.4,195,124,160.2,197,125,0.0,0.0,0.0,0.0,0.0,0.0
Green Park,Test,4,3,0,0,1,2,2,100.0,1,1,100.0,14,4253,4,1735,4,1282,120,0,0,0,0,120,303.79,642,64,433.75,642,265,320.5,466,229,0.0,0.0,0.0,0.0,0.0,0.0
"Green Park, Kanpur",Test,2,1,0,0,1,0,0,0.0,1,1,100.0,8,1802,2,578,2,581,68,0,0,0,0,68,225.25,345,98,289.0,345,233,290.5,296,285,0.0,0.0,0.0,0.0,0.0,0.0
Greenfield International Stadium,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,209,1,104,1,105,11,0,0,0,0,11,104.5,105,104,104.0,104,104,105.0,105,105,0.0,0.0,0.0,0.0,0.0,0.0
Greenfield International Stadium,T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,471,2,237,2,234,20,0,0,0,0,20,117.75,173,61,118.5,170,67,117.0,173,61,0.0,0.0,0.0,0.0,0.0,0.0
"Greenfield International Stadium, Thiruvananthapuram",ODI,1,1,0,0,0,1,1,100.0,0,0,0.0,2,463,1,390,1,73,14,0,0,0,0,14,231.5,390,73,390.0,390,390,73.0,73,73,0.0,0.0,0.0,0.0,0.0,0.0
"Greenfield International Stadium, Thiruvananthapuram",T20,6,6,0,0,0,4,4,100.0,2,2,100.0,12,2112,6,1120,6,992,69,0,0,0,0,69,176.0,271,106,186.67,271,106,165.33,225,110,0.0,0.0,0.0,0.0,0.0,0.0
Greenfield Stadium,T20,13,13,0,0,0,6,6,100.0,7,7,100.0,26,2886,13,1618,13,1268,166,0,0,0,0,166,111.0,191,42,124.46,191,55,97.54,177,42,0.0,0.0,0.0,0.0,0.0,0.0
"Ground 1, Independence Park",T20,6,6,0,0,0,1,1,100.0,5,5,100.0,12,869,6,459,6,410,67,0,0,0,0,67,72.42,144,37,76.5,144,37,68.33,87,38,0.0,0.0,0.0,0.0,0.0,0.0
"Ground 2, Independence Park",T20,4,4,0,0,0,1,1,100.0,3,3,100.0,8,647,4,336,4,311,46,0,0,0,0,46,80.88,118,23,84.0,118,23,77.75,102,27,0.0,0.0,0.0,0.0,0.0,0.0
"GSSS, Sector 26",T20,12,12,0,0,0,7,7,100.0,5,5,100.0,24,3653,12,1916,12,1737,148,0,0,0,0,148,152.21,201,96,159.67,201,104,144.75,195,96,0.0,0.0,0.0,0.0,0.0,0.0
Guanggong International Cricket Stadium,T20,4,4,0,0,0,2,2,100.0,2,2,100.0,8,615,4,318,4,297,63,0,0,0,0,63,76.88,94,57,79.5,93,62,74.25,94,57,0.0,0.0,0.0,0.0,0.0,0.0
Gucherre Cricket Ground,T20,3,3,0,0,0,2,2,100.0,1,1,100.0,6,1013,3,563,3,450,28,0,0,0,0,28,168.83,218,108,187.67,218,148,150.0,193,108,0.0,0.0,0.0,0.0,0.0,0.0
"Guernsey Rovers Athletic Club Ground, Port Soif",T20,13,13,0,0,0,5,5,100.0,8,8,100.0,26,3175,13,1664,13,1511,186,0,0,0,0,186,122.12,199,67,128.0,199,67,116.23,178,68,0.0,0.0,0.0,0.0,0.0,0.0
Gurugram Cricket Ground (SRNCC),T20,8,8,0,0,0,5,5,100.0,3,3,100.0,16,2428,8,1268,8,1160,96,0,0,0,0,96,151.75,177,106,158.5,173,146,145.0,177,106,0.0,0.0,0.0,0.0,0.0,0.0
Guttsta Wicked Cricket Club,T20,1,1,0,0,0,0,0,0.0,1,1,100.0,2,105,1,52,1,53,18,0,0,0,0,18,52.5,53,52,52.0,52,52,53.0,53,53,0.0,0.0,0.0,0.0,0.0,0.0
"Guyana National Stadium, Providence",T20,17,17,0,0,0,9,9,100.0,8,8,100.0,34,2917,17,1649,17,1268,206,0,0,0,0,206,85.79,170,46,97.0,170,56,74.59,104,46,0.0,0.0,0.0,0.0,0.0,0.0
Gymkhana Club Ground,ODI,12,12,0,0,0,3,3,100.0,9,9,100.0,24,4464,12,2366,12,2098,195,0,0,0,0,195,186.0,303,106,197.17,303,118,174.83,236,106,0.0,0.0,0.0,0.0,0.0,0.0
Gymkhana Club Ground,T20,3,3,0,0,0,1,1,100.0,2,2,100.0,6,814,3,421,3,393,38,0,0,0,0,38,135.67,191,92,140.33,191,92,131.0,161,93,0.0,0.0,0.0,0.0,0.0,0.0
"Gymkhana Club Ground, Dar-es-Salaam",T20,9,9,0,0,0,5,5,100.0,4,4,100.0,18,1276,9,774,9,502,130,0,0,0,0,130,70.89,148,24,86.0,148,24,55.78,100,27,0.0,0.0,0.0,0.0,0.0,0.0
"Gymkhana Club Ground, Nairobi",ODI,1,1,0,0,0,1,1,100.0,0,0,0.0,2,367,1,210,1,157,19,0,0,0,0,19,183.5,210,157,210.0,210,210,157.0,157,157,0.0,0.0,0.0,0.0,0.0,0.0
"Gymkhana Club Ground, Nairobi",T20,35,35,0,0,0,16,16,100.0,19,19,100.0,70,8064,35,4533,35,3531,467,0,0,0,0,467,115.2,286,18,129.51,286,39,100.89,160,18,0.0,0.0,0.0,0.0,0.0,0.0
Hagley Oval,ODI,17,17,0,0,0,9,9,100.0,8,8,100.0,34,7685,17,4362,17,3323,246,0,0,0,0,246,226.03,341,99,256.59,341,117,195.47,283,99,0.0,0.0,0.0,0.0,0.0,0.0
Hagley Oval,T20,26,25,1,0,0,12,12,100.0,13,13,100.0,51,7261,26,3872,25,3389,321,0,0,0,0,321,142.37,222,72,148.92,219,72,135.56,222,83,0.0,0.0,0.0,0.0,0.0,0.0
Hagley Oval,Test,8,7,0,0,1,2,2,100.0,5,5,100.0,31,8214,8,2257,8,2473,257,0,0,0,0,257,264.97,659,104,282.12,441,133,309.12,659,104,0.0,0.0,0.0,0.0,0.0,0.0
